date,proxy_fill
2000-01-01,0.2572489601901366
2000-02-01,0.2654065081555593
2000-03-01,0.2836404811191339
2000-04-01,0.2588475121231289
2000-05-01,0.2682103804376101
2000-06-01,0.27929909011502946
2000-07-01,0.2772713410877548
2000-08-01,0.2614173416189545
2000-09-01,0.2754781824753362
2000-10-01,0.283623206858501
2000-11-01,0.2722038869311166
2000-12-01,0.31127014588826735
2001-01-01,0.32991828011752106
2001-02-01,0.3533770512114915
2001-03-01,0.3519615407257722
2001-04-01,0.3791042917655821
2001-05-01,0.3816601430405984
2001-06-01,0.3694030197611792
2001-07-01,0.3599023030522082
2001-08-01,0.3941006842619746
2001-09-01,0.4031328430688013
2001-10-01,0.43985129829057723
2001-11-01,0.43450987237514754
2001-12-01,0.4292055893716235
2002-01-01,0.40557298725942
2002-02-01,0.41306666557140936
2002-03-01,0.38984812204451674
2002-04-01,0.40754247202302224
2002-05-01,0.37576221348754557
2002-06-01,0.39332837044886376
2002-07-01,0.4254497810854547
2002-08-01,0.43335866115752264
2002-09-01,0.419185823400719
2002-10-01,0.460237489423922
2002-11-01,0.4428858625561662
2002-12-01,0.44424970428053917
2003-01-01,0.461999669369214
2003-02-01,0.47631181015905866
2003-03-01,0.4960239970866157
2003-04-01,0.4696747804693725
2003-05-01,0.44512702588366726
2003-06-01,0.4542739300021083
2003-07-01,0.4540572812702794
2003-08-01,0.4659686386773673
2003-09-01,0.4771271949640071
2003-10-01,0.4642279155063785
2003-11-01,0.4506989041951091
2003-12-01,0.45487464780633663
2004-01-01,0.37068965517241387
2004-02-01,0.5086206896551725
2004-03-01,0.5689655172413793
2004-04-01,0.5517241379310345
2004-05-01,0.5344827586206897
2004-06-01,0.31034482758620696
2004-07-01,0.7500000000000001
2004-08-01,0.47413793103448276
2004-09-01,0.5344827586206897
2004-10-01,0.9224137931034484
2004-11-01,0.99
2004-12-01,0.32758620689655177
2005-01-01,0.26724137931034486
2005-02-01,0.32758620689655177
2005-03-01,0.32758620689655177
2005-04-01,0.37068965517241387
2005-05-01,0.32758620689655177
2005-06-01,0.14655172413793105
2005-07-01,0.07758620689655174
2005-08-01,0.11206896551724138
