date,layman__personal_savings_rate,layman__consumer_survey_expectations,layman__news_fear_index,layman__crime_sentiment_index,layman__financial_anxiety_mentions,layman__google_trend_recession,layman__youth_political_sentiment
2000-01-01,4.5,112.0,,,,,0.2572489601901366
2000-02-01,4.0,111.3,,,,,0.2654065081555593
2000-03-01,3.8,107.1,,,,,0.2836404811191339
2000-04-01,4.3,109.2,,,,,0.2588475121231289
2000-05-01,4.3,110.7,,,,,0.2682103804376101
2000-06-01,4.3,106.4,,,,,0.27929909011502946
2000-07-01,4.7,108.3,,,,,0.2772713410877548
2000-08-01,4.8,107.3,,,,,0.2614173416189545
2000-09-01,4.1,106.8,,,,,0.2754781824753362
2000-10-01,4.3,105.8,,,,,0.283623206858501
2000-11-01,4.3,107.6,,,,,0.2722038869311166
2000-12-01,4.1,98.4,,,,,0.31127014588826735
2001-01-01,4.5,94.7,,,,,0.32991828011752106
2001-02-01,4.6,90.6,,,,,0.3533770512114915
2001-03-01,4.9,91.5,,,,,0.3519615407257722
2001-04-01,4.8,88.4,,,,,0.3791042917655821
2001-05-01,4.3,92.0,,,,,0.3816601430405984
2001-06-01,4.2,92.6,,,,,0.3694030197611792
2001-07-01,5.4,92.4,,,,,0.3599023030522082
2001-08-01,6.5,91.5,,,,,0.3941006842619746
2001-09-01,6.9,81.8,,,,,0.4031328430688013
2001-10-01,2.9,82.7,,,,,0.43985129829057723
2001-11-01,3.4,83.9,,,,,0.43450987237514754
2001-12-01,3.7,88.8,,,,,0.4292055893716235
2002-01-01,5.6,93.0,,,,,0.40557298725942
2002-02-01,5.4,90.7,,,,,0.41306666557140936
2002-03-01,5.5,95.7,,,,,0.38984812204451674
2002-04-01,5.4,93.0,,,,,0.40754247202302224
2002-05-01,6.1,96.9,,,,,0.37576221348754557
2002-06-01,6.1,92.4,,,,,0.39332837044886376
2002-07-01,5.3,88.1,,,,,0.4254497810854547
2002-08-01,5.2,87.6,,,,,0.43335866115752264
2002-09-01,5.8,86.1,,,,,0.419185823400719
2002-10-01,5.6,80.6,,,,,0.460237489423922
2002-11-01,5.6,84.2,,,,,0.4428858625561662
2002-12-01,5.3,86.7,,,,,0.44424970428053917
2003-01-01,5.3,82.4,,,,,0.461999669369214
2003-02-01,5.2,79.9,,,,,0.47631181015905866
2003-03-01,4.9,77.6,,,,,0.4960239970866157
2003-04-01,5.0,86.0,,,,,0.4696747804693725
2003-05-01,5.3,92.1,,,,,0.44512702588366726
2003-06-01,5.1,89.7,,,,,0.4542739300021083
2003-07-01,5.9,90.9,,,,,0.4540572812702794
2003-08-01,5.7,89.3,,,,,0.4659686386773673
2003-09-01,4.9,87.7,,,,,0.4771271949640071
2003-10-01,5.0,89.6,,,,,0.4642279155063785
2003-11-01,5.0,93.7,,,,,0.4506989041951091
2003-12-01,5.0,92.6,,,,,0.45487464780633663
2004-01-01,4.6,103.8,,,,,0.37068965517241387
2004-02-01,4.6,94.4,,,,,0.5086206896551725
2004-03-01,4.5,95.8,,,,,0.5689655172413793
2004-04-01,4.9,94.2,,,,,0.5517241379310345
2004-05-01,4.8,90.2,,,,,0.5344827586206897
2004-06-01,5.4,95.6,,,,,0.31034482758620696
2004-07-01,4.7,96.7,,,,,0.7500000000000001
2004-08-01,4.7,95.9,,,,,0.47413793103448276
